Date,Portfolio Value,Reference Values
2009-06-19,843949.5041724277,644940.4700493168
2009-06-26,831324.7181125726,643258.7747353659
2009-07-03,831162.2440767877,624383.5503373715
2009-07-10,804254.2215139772,610135.5673400332
2009-07-17,859943.0361157448,656397.6641974297
2009-07-24,904005.6113790597,693394.9611043483
2009-07-31,898630.0440385863,702334.7708561176
2009-08-07,927276.8341569483,732146.173369375
2009-08-14,906801.296697147,725930.0909972561
2009-08-21,918146.5253431265,742943.0699709062
2009-08-28,936446.679592899,748653.6120339234
2009-09-04,930418.1215537848,735736.5412789144
2009-09-11,970309.6748490443,763180.158058726
2009-09-18,1008824.8446746937,789292.8625962081
2009-09-25,978858.4301347929,765233.2707426292
2009-10-02,957468.372870329,748854.7964426478
2009-10-09,994637.9245884647,788421.0634917367
2009-10-16,988847.750724495,799904.0505127631
2009-10-23,963814.7052569197,792408.6416441415
2009-10-30,911272.6826852327,750980.1291707081
2009-11-06,934748.4719106875,777257.9080948358
2009-11-13,975509.900475427,795065.3075542173
2009-11-20,977426.1687752595,788570.6621546341
2009-11-27,977579.2898022811,787126.2612714861
2009-12-04,1023765.1724405325,804067.0202009787
2009-12-11,1044912.2333916352,807806.9867734155
2009-12-18,1038600.3643944019,812294.9466603396
2009-12-25,1092624.0807106164,836189.4641272732
2010-01-01,1084232.503887806,824696.1599570814
2010-01-08,1101378.5438751047,852774.2814105614
2010-01-15,1083219.0442096083,843860.2645317053
2010-01-22,1043485.0048687648,812883.024162764
2010-01-29,1019643.1319415855,798155.2937292374
2010-02-05,1042834.3532228094,792651.094649527
2010-02-12,1076329.4320514118,803437.6741018927
2010-02-19,1095632.276833311,832722.9020077179
2010-02-26,1092186.0055109095,830649.1550254839
2010-03-05,1130570.956291802,863550.5437137616
2010-03-12,1159040.95323478,873506.5926583173
2010-03-19,1151874.1829716181,879103.6460805158
2010-03-26,1170124.9748010573,883823.74182366
2010-04-02,1188034.3039709737,895967.0263912682
2010-04-09,1182307.60727602,911262.2000288888
2010-04-16,1186021.4838981868,910963.0027030938
2010-04-23,1213119.0279492815,941465.6542104293
2010-04-30,1185037.3118851702,912103.0476858643
2010-05-07,1080133.47398052,847646.6582753861
2010-05-14,1117175.2571500624,872562.5735096885
2010-05-21,1085503.4093485498,834961.7233765972
2010-05-28,1115439.487805669,843292.8213276113
2010-06-04,1084705.1518449236,817752.7185688056
2010-06-11,1106680.9701602112,843318.6142005248
2010-06-18,1140716.6757122665,863529.909415431
2010-06-25,1095203.3342227743,830829.7051358775
2010-07-02,1016180.2425469629,783216.0617378212
2010-07-09,1082081.9173071382,827373.4601654877
2010-07-16,1067876.4257728027,814693.6838412816
2010-07-23,1154436.860591231,850736.6444504061
2010-07-30,1139270.406315885,846718.1148505051
2010-08-06,1142915.693193412,860290.3245775133
2010-08-13,1108003.4526956794,824629.0984875064
2010-08-20,1106733.4094929385,822828.7559581541
2010-08-27,1096021.7246329284,819021.7279161427
2010-09-03,1133644.4046604936,853465.5304046391
2010-09-10,1117801.3517969062,854218.682293709
2010-09-17,1149048.830627273,867445.2675236783
2010-09-24,1190644.740695388,886800.239357861
2010-10-01,1187658.1555660574,889240.2451354645
2010-10-08,1220747.4080689582,904071.1470606445
2010-10-15,1251944.7093056755,913016.1153869967
2010-10-22,1263691.2288625601,915450.9625900174
2010-10-29,1282708.519033669,916977.9006664881
2010-11-05,1325004.748211125,950751.0884592372
2010-11-12,1303160.4427411687,930317.9745372762
2010-11-19,1305400.4471400252,932432.9901161714
2010-11-26,1321478.6591654997,929791.7999298437
2010-12-03,1351446.8455887807,961393.2278232882
2010-12-10,1362955.5749994318,973484.9266450697
2010-12-17,1366582.52449688,978045.1065761513
2010-12-24,1372711.0937323363,987918.6183273841
2010-12-31,1374271.187018404,988088.8512886122
2011-01-07,1398593.3687102231,996290.9848750595
2011-01-14,1421909.2907806176,1014763.8404556054
2011-01-21,1362741.7911567795,1003342.7563295711
2011-01-28,1352950.0148468919,1000701.5661432435
2011-02-04,1373039.3539668485,1032638.3013845616
2011-02-11,1415161.7367826616,1050971.8754513755
2011-02-18,1422879.234157751,1064152.0335101008
2011-02-25,1396619.2016403445,1044178.0327259974
2011-03-04,1405565.987911415,1044848.6474217445
2011-03-11,1389574.2231385629,1032070.8581804676
2011-03-18,1367545.4915588864,1015388.0279801084
2011-03-25,1402577.3790387225,1044250.2527701544
2011-04-01,1425627.1479528751,1062026.70078204
2011-04-08,1413298.9990357324,1057827.6210717452
2011-04-15,1400138.7423578307,1055604.2754266139
2011-04-22,1429284.9044331748,1070548.665992613
2011-04-29,1479942.047648624,1088263.2111095062
2011-05-06,1491978.8883093207,1071291.5007325176
2011-05-13,1511459.1457818178,1075046.9430287024
2011-05-20,1495713.7640529927,1072555.351505272
2011-05-27,1476110.4463048228,1070837.5461692426
2011-06-03,1434652.1576532724,1040665.043435198
2011-06-10,1394601.0102771951,1014351.1544889917
2011-06-17,1396068.438044156,1015666.591007573
2011-06-24,1400133.823907312,1018586.3442213647
2011-07-01,1467482.8130563307,1076063.1822214886
2011-07-08,1464391.7032198708,1076352.0623981184
2011-07-15,1407103.6009442243,1047288.6531993482
2011-07-22,1418283.646878508,1067211.0682376248
